Year,2,3,4,5,6,7,8,9,10,11,12,13,14
1979,149,1908,3762,6057,9022,1743,438,56,0,56,56,0,1
1980,595,1385,11481,4298,3798,3732,544,91,32,0,5,0,0
1981,10,514,4911,16900,5999,2825,1803,168,43,0,14,0,0
1982,107,245,3149,10851,14049,2068,1000,725,169,26,5,0,1
1983,34,1010,1589,4596,9850,8839,766,207,263,17,0,0,0
1984,241,1069,4946,1341,4772,3742,4076,238,58,19,3,0,0
1985,1320,1728,4562,6796,855,1682,1914,1903,212,31,49,4,0
1986,1012,4223,4068,4686,5139,494,796,897,344,27,29,0,0
1987,1939,8308,6965,2728,2042,1094,132,165,220,89,14,6,10
1988,237,9831,15164,5824,1304,1084,609,66,89,96,24,2,2
1989,188,2474,22560,9571,3196,513,556,144,34,40,36,14,17
1990,1857,2415,8628,23611,6331,816,150,67,45,13,7,2,7
1991,8617,2145,5397,7342,14103,2648,338,40,10,5,0,12,0
1992,5405,10693,5721,4610,3691,5209,999,120,10,4,2,0,0
1993,769,12333,12815,2968,1722,1425,2239,343,19,1,1,17,0
1994,3198,3343,28258,10682,1469,726,358,647,93,11,1,3,0
1995,4015,7323,5744,23927,5769,615,290,187,268,52,3,8,0
1996,3090,10552,7639,4468,12896,2346,208,79,60,51,14,0,0
1997,1364,3939,10915,4895,2610,5035,719,64,12,16,40,1,0
1998,279,8257,5667,7856,2418,1422,1897,261,17,16,4,3,5
1999,1434,1550,17243,4516,4837,915,620,481,63,0,0,1,0
2000,2659,6317,2352,13615,1945,1706,324,222,176,12,2,0,2
2001,2515,11098,6954,1446,6262,675,478,105,42,52,0,0,0
2002,1082,10434,15998,5099,1131,3149,262,169,42,33,19,6,0
2003,401,6352,16265,12548,2968,748,1236,91,48,11,6,5,0
2004,1597,4063,17652,19358,8871,1940,471,489,92,36,15,0,12
2005,2405,9450,6929,25421,13778,4584,809,251,212,3,19,3,0
2006,241,10038,21246,6646,18840,7600,2180,323,93,109,0,0,0
2007,782,3884,42224,22239,3354,9952,2740,519,62,30,33,24,32
2008,2316,4508,9706,53022,11014,1717,3033,815,167,20,5,0,0
2009,1066,3185,4886,8892,35011,5733,726,1381,395,97,17,0,0
2010,121,6032,7061,4806,6766,17503,1874,354,412,97,19,0,0
2011,253,1584,11797,5080,2853,3983,6220,494,112,58,13,0,0
2012,196,1322,3421,13107,2223,1231,2480,2662,241,49,56,19,5
2013,250,1042,2865,4008,9222,1206,668,1248,1367,149,54,17,12
2014,238,1478,1751,2725,2737,4742,447,387,586,652,90,27,48
