Year,2,3,4,5,6,7,8,9,10,11,12,13,14
1979,0.08,0.301,0.539,0.722,0.821,0.868,0.904,0.963,1,1,1,1,1
1980,0.08,0.301,0.539,0.722,0.821,0.868,0.904,0.963,1,1,1,1,1
1981,0.08,0.301,0.539,0.722,0.821,0.868,0.904,0.963,1,1,1,1,1
1982,0.08,0.301,0.539,0.722,0.821,0.868,0.904,0.963,1,1,1,1,1
1983,0.08,0.301,0.539,0.722,0.821,0.868,0.904,0.963,1,1,1,1,1
1984,0.08,0.301,0.539,0.722,0.821,0.868,0.904,0.963,1,1,1,1,1
1985,0.016,0.144,0.536,0.577,0.765,0.766,0.961,0.934,1,1,1,1,1
1986,0.021,0.205,0.413,0.673,0.845,0.884,0.952,0.986,1,1,1,1,1
1987,0.022,0.137,0.426,0.535,0.778,0.776,1,0.969,1,1,1,1,1
1988,0.013,0.221,0.394,0.767,0.793,0.928,0.914,1,1,1,1,1,1
1989,0.041,0.202,0.532,0.727,0.818,0.998,1,1,1,1,1,1,1
1990,0.114,0.334,0.634,0.814,0.843,0.918,0.882,1,1,1,1,1,1
1991,0.063,0.224,0.592,0.739,0.817,0.894,0.495,1,1,1,1,1,1
1992,0.05,0.227,0.419,0.799,0.901,0.901,0.858,1,1,1,1,1,1
1993,0.124,0.362,0.481,0.67,0.904,0.977,0.908,0.867,1,1,1,1,1
1994,0.248,0.312,0.573,0.762,0.846,1,0.907,1,1,1,1,1,1
1995,0.124,0.479,0.382,0.75,0.753,0.606,0.985,1,1,1,1,1,1
1996,0.191,0.362,0.59,0.648,0.787,0.739,0.949,0.908,1,1,1,1,1
1997,0.093,0.436,0.587,0.683,0.75,0.783,0.88,1,1,1,1,1,1
1998,0.026,0.454,0.668,0.77,0.733,0.849,0.899,1,1,1,1,1,1
1999,0.05,0.397,0.683,0.724,0.749,0.892,0.761,0.92,1,1,1,1,1
2000,0.107,0.261,0.632,0.808,0.868,0.873,1,0.78,1,1,1,1,1
2001,0.091,0.377,0.522,0.753,0.895,0.916,0.918,1,1,1,1,1,1
2002,0.047,0.286,0.633,0.8,0.934,0.928,1,1,1,1,1,1,1
2003,0.062,0.347,0.685,0.867,0.922,0.946,1,1,1,1,1,1,1
2004,0.037,0.361,0.57,0.831,0.91,1,1,1,1,1,1,1,1
2005,0.024,0.23,0.562,0.753,0.927,0.936,0.968,1,1,1,1,1,1
2006,0.027,0.117,0.462,0.621,0.739,0.918,1,1,1,1,1,1,1
2007,0.078,0.208,0.418,0.68,0.77,0.875,0.959,1,1,1,1,1,1
2008,0.027,0.263,0.418,0.621,0.828,0.87,0.904,0.975,1,1,1,1,1
2009,0.017,0.301,0.47,0.576,0.847,0.891,1,0.968,1,1,1,1,1
2010,0.029,0.187,0.618,0.778,0.787,0.887,0.934,1,0.958,1,1,1,1
2011,0.045,0.176,0.426,0.823,0.816,0.838,0.899,0.974,1,1,1,1,1
2012,0.106,0.167,0.445,0.627,0.819,0.903,0.852,0.911,1,1,1,1,1
2013,0.046,0.223,0.381,0.714,0.793,0.92,0.986,0.974,0.992,0.945,1,1,1
2014,0.107,0.192,0.391,0.567,0.675,0.735,0.925,0.906,0.883,1,1,1,1
2015,0.138,0.283,0.445,0.667,0.795,0.772,0.892,1,0.889,1,1,1,1
2016,0.067,0.417,0.696,0.827,0.894,0.912,0.935,1,1,1,1,1,1
2017,0.066,0.317,0.694,0.835,0.894,0.925,0.935,1,1,1,1,1,1
2018,0.069,0.313,0.627,0.834,0.897,0.926,0.942,1,1,1,1,1,1
